respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.9235888071786229,0.25965877648983615
26708,0.9536472889563248,0.09935147110000064
26709,0.8338346413584724,0.43590280104264695
26710,0.5344889720259872,0.8619381082903744
26711,0.8184882027852463,0.5508681429840753
26712,0.7486705573455321,0.7460770751616577
26713,0.7975621082627377,0.3996018116158192
26714,0.9362124146708488,0.21924167415713164
26715,0.9376515672463238,0.2580281676727886
26716,0.8960337921525416,0.6788522076010862
26717,0.960460681462906,0.5431058417298813
26718,0.758259046611063,0.5339138785946469
26719,0.8576214886979981,0.7562779646229686
26720,0.9769790655665973,0.1063274185424817
26721,0.8709540724126248,0.31977818326359353
26722,0.9604201430154352,0.11296969731513071
26723,0.6214812842252866,0.5790393042322988
26724,0.8905553134947048,0.5273599346726154
26725,0.9790647770015484,0.11913672203238983
26726,0.9851392467200389,0.05792353787355938
26727,0.9013422093496455,0.5702667714634982
26728,0.727087875207983,0.5605851889557575
26729,0.9149259058167245,0.36212670650595974
26730,0.9521424389612595,0.2677838416037911
26731,0.9357376736119273,0.48288492407834677
26732,0.7469875626362428,0.29063671673256847
26733,0.49835620101165023,0.7570909671986581
26734,0.619372153712619,0.4000032230400793
26735,0.9037645451595211,0.4604413750023985
26736,0.9210093956077021,0.2322256399049383
26737,0.8909157624279673,0.19772485397414133
26738,0.6621499179100151,0.7194362992100988
26739,0.8674434198865385,0.3274976116469126
26740,0.9084744730472702,0.14688712718361116
26741,0.7618229718876308,0.7656950377858
26742,0.8398848882037157,0.49347589163749317
26743,0.9504801528888247,0.38138331354456806
26744,0.9551040626512811,0.5444248926974727
26745,0.5829115624577164,0.9042166582008706
26746,0.8938703669350416,0.3373750533644759
26747,0.9118066928328037,0.3025725101013137
26748,0.9029251052667294,0.10113406400693535
26749,0.8563856742087663,0.4744945423862865
26750,0.5532311104818668,0.777842279735939
26751,0.8282021026323355,0.5249839766708823
26752,0.9243027174643809,0.1211448164751686
26753,0.889112362959049,0.47974100639985395
26754,0.8676691896902569,0.30634935438023947
26755,0.6578502652737925,0.6150961549740528
26756,0.8757371153327912,0.24600676278365416
26757,0.720519740927531,0.43473647060478215
26758,0.8145882490118641,0.5650283321793114
26759,0.8464991500656895,0.49561863001786277
26760,0.9561168982160767,0.10911354095842848
26761,0.939714762365521,0.43846669372812075
